user_id,transaction_id,amount,transaction_date,due_date,category,balance,credit_limit
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,6b70ecb7-5c0b-4b8c-8693-80e59d708770,2873.95,2024-10-16,2024-10-16,petrol,93440.05,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,c6b4d6c1-5412-4606-b701-fec6cc877909,7388.38,2024-10-19,2024-10-19,solar,88925.62,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,8cc164b3-c51c-4671-a40e-aec2cd93bf49,7645.7,2024-10-09,2024-10-09,petrol,88668.3,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,7bd59bc2-ad16-41df-a417-f3040cdc2f0b,1184.58,2024-10-06,2024-10-04,petrol,95129.42,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,9a9ada38-58cf-43be-82d2-27449a7dc9a4,6699.36,2024-10-30,2024-10-30,petrol,96314.0,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,daf2de00-0447-4a32-8d80-36a3ce43ef51,787.4,2024-10-24,2024-10-24,subscription,96314.0,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,7402fcbf-4d02-40b1-a6df-aa256dde55c0,8627.77,2024-10-23,2024-10-19,rent,96314.0,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,29dbdc85-dae7-44c3-a9c4-b85b3fd65594,2528.68,2024-11-13,2024-11-13,petrol,93785.32,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,5c51ed0f-7feb-4928-b551-2635118db2a1,9142.29,2024-11-22,2024-11-22,petrol,96314.0,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,5b566567-cecc-4f8f-893e-0d2772250cbb,4948.13,2024-11-22,2024-11-18,petrol,91365.87,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,f333da23-b29a-4dcf-8fbb-0e51413d5b05,8720.98,2024-11-09,2024-11-09,subscription,87593.02,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,1a657186-4a06-4a93-b87e-a8a6329bd317,1848.62,2024-11-20,2024-11-20,solar,94465.38,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,813b7c51-b95e-4524-8a77-6f226444c5db,9937.55,2024-11-29,2024-11-29,subscription,86376.45,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,8f66861a-dc19-47ff-9e8a-073d0f5ca141,6589.38,2024-11-08,2024-11-05,petrol,89724.62,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,3bc008d7-31df-4f3e-9187-d074de2d2231,8577.6,2024-11-13,2024-11-13,subscription,96314.0,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,182a556d-fc30-43f0-b929-288219491f0b,621.62,2024-11-23,2024-11-23,other,95692.38,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,c15792e3-72d5-44a8-a8bb-5a85ef52d081,1006.55,2024-11-03,2024-11-03,subscription,95307.45,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,ee005507-bbb9-4128-9358-0dbbf987baf2,2672.67,2024-11-27,2024-11-27,petrol,93641.33,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,3bc1b80b-6ea1-4204-9e38-fd47666d1270,5345.66,2024-12-21,2024-12-21,petrol,90968.34,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,a546c055-bab6-483d-a3d0-970b787bbb3b,4537.72,2024-12-22,2024-12-22,subscription,91776.28,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,578e2412-83af-4d2d-bc15-beb18de886fd,1068.72,2024-12-17,2024-12-17,utility,96314.0,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,3e394a5b-c387-4d85-afc7-54ba9200b058,5869.56,2024-12-20,2024-12-20,other,90444.44,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,fe250bde-131f-4c7a-be5c-359f479e7187,7015.62,2024-12-14,2024-12-14,rent,89298.38,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,dd8dce97-ba6b-4bd0-9035-9c3979293b4c,7137.56,2025-01-05,2025-01-05,other,89176.44,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,5329a7bd-3fbe-4a11-8a28-56065d8bece6,2090.12,2025-01-29,2025-01-29,rent,96314.0,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,f491c03d-cf51-413d-8913-f5f9bb39accd,8640.42,2025-01-17,2025-01-17,petrol,87673.58,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,20d046c2-fc3c-456e-b2b5-d5a471660570,6503.55,2025-01-01,2025-01-01,petrol,89810.45,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,8cb05baf-4b86-472c-9da7-cc8461e68850,1554.73,2025-01-23,2025-01-23,petrol,94759.27,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,3d8e2802-a4b1-42f5-8af4-df73a7084a6a,1051.59,2025-01-25,2025-01-25,other,95262.41,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,edcb6de9-4638-45fe-881f-81fe6a778b72,1522.18,2025-02-27,2025-02-27,petrol,94791.82,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,926ac52c-979d-4d48-ae5a-f0b4370c0dc7,9924.62,2025-02-20,2025-02-20,other,86389.38,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,991866e6-b412-4508-8d8f-e016e5bc5aaf,8092.91,2025-02-26,2025-02-26,utility,96314.0,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,d0106471-5aa2-4b76-9aad-ea41d2069118,7112.21,2025-02-06,2025-02-06,utility,89201.79,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,5628c198-ce19-44bf-b43f-d321b1e12aeb,9184.82,2025-02-19,2025-02-19,utility,87129.18,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,2d2f6459-6f6c-44b9-b9c4-9f45912fd024,581.42,2025-02-01,2025-02-01,solar,95732.58,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,1bb96bdd-625d-48d5-95f0-1d9dc410a3a6,2576.78,2025-02-10,2025-02-10,rent,93737.22,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,932e552a-d678-4b62-a759-e85ae15c34b3,8969.73,2025-03-07,2025-03-07,utility,87344.27,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,a346a0b2-ca90-4fd6-8c4f-5b06a27c7946,6492.44,2025-03-09,2025-03-09,solar,89821.56,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,c3cb3461-7c0a-4a71-87b6-f326ddb01082,7913.71,2025-03-16,2025-03-16,rent,88400.29,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,53a99210-6a9d-41c2-8393-d5245da1045a,2583.32,2025-03-17,2025-03-17,utility,93730.68,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,2373d34c-0292-47eb-b8ed-b5050d35949d,3064.3,2025-03-02,2025-03-02,petrol,93249.7,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,75910dea-f532-46a3-929d-4220b1a5f1a9,6930.73,2025-03-05,2025-03-05,utility,89383.27,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,abfa21eb-51cb-4dc8-8176-5c1e4e9f0936,2484.19,2025-03-19,2025-03-19,utility,93829.81,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,ffe24253-e650-47f0-87f6-6326574a6bf2,8215.35,2025-03-09,2025-03-09,petrol,88098.65,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,7beee3b5-4974-47bc-8c9e-8e2763cd9c5d,1098.28,2025-03-15,2025-03-15,solar,95215.72,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,b56512db-893a-48ed-9a21-8310b3bb09bd,2730.34,2025-03-03,2025-03-03,other,93583.66,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,0d50d8ad-9d41-437d-b4d3-978f042528c3,7150.59,2025-03-12,2025-03-12,utility,89163.41,150000
a8d341b8-b2ab-42ce-91b3-a9b4b296d411,6de0757c-7059-4c6d-9a6f-f12448cd26e1,6403.49,2025-03-05,2025-03-05,solar,96314.0,150000
c0b55859-cdd7-44c4-8c03-de47ad66eaa9,97d612cc-b4f4-4f63-8c1f-aee6990adcd2,3015.82,2024-10-17,2024-10-17,rent,35836.18,50000
c0b55859-cdd7-44c4-8c03-de47ad66eaa9,4bd1cbd0-fda2-4cec-8f7c-f197a4557a77,6590.17,2024-10-16,2024-10-16,solar,32261.83,50000
c0b55859-cdd7-44c4-8c03-de47ad66eaa9,2c5642fa-3b5d-4a65-9075-234996cfc89c,2004.14,2024-10-26,2024-10-26,rent,36847.86,50000
c0b55859-cdd7-44c4-8c03-de47ad66eaa9,5432c4bc-a78d-48de-b4a6-03a83c3050ba,8093.84,2024-10-11,2024-10-11,petrol,30758.16,50000
c0b55859-cdd7-44c4-8c03-de47ad66eaa9,9f06b5b2-57a6-4fe5-b3e3-0e98ef0ea313,6887.13,2024-10-23,2024-10-23,utility,31964.87,50000
c0b55859-cdd7-44c4-8c03-de47ad66eaa9,042e208c-c3d9-43a9-af71-eb7b963bcff8,5964.39,2024-11-25,2024-11-25,petrol,32887.61,50000
c0b55859-cdd7-44c4-8c03-de47ad66eaa9,31885870-8ba3-4efb-b7b3-5069910004bc,973.5,2024-11-01,2024-11-01,solar,37878.5,50000
c0b55859-cdd7-44c4-8c03-de47ad66eaa9,24101d09-633e-4f8c-9d35-c953bc5ef91b,5407.54,2024-11-26,2024-11-26,other,33444.46,50000
c0b55859-cdd7-44c4-8c03-de47ad66eaa9,d9f92f8b-edd9-4e38-8469-98ea75070048,7908.65,2024-11-04,2024-11-04,utility,30943.35,50000
c0b55859-cdd7-44c4-8c03-de47ad66eaa9,3fc64cb5-f81c-42ed-8024-b66789f615bc,7329.38,2024-11-03,2024-11-03,solar,31522.62,50000
c0b55859-cdd7-44c4-8c03-de47ad66eaa9,cb6723dd-071c-43c1-b208-d20ff20f5a5f,9770.71,2024-11-17,2024-11-17,subscription,29081.29,50000
c0b55859-cdd7-44c4-8c03-de47ad66eaa9,5434e353-5245-4a4c-9247-bf75b66253a2,2662.25,2024-11-08,2024-11-05,utility,36189.75,50000
